reviewerID,asin,overall,verified,reviewTime,reviewText,summary
AQ7RJA2YJZ71B,0209688726,3.0,True,"04 17, 2018",Make sure keep car running when you use this vacuum.  It made my battery dead in about 15 minutes.  Not the best suction but it does get the job done I suppose.,Not the best suction but it does get the job done I ...
A8WP1ET1OMSKA,0209688726,5.0,False,"04 17, 2018",It has good sucktion cleaned car right up,Good Sucktion
A11QAL0XJOJTUW,0209688726,4.0,True,"04 16, 2018","for the price i paid, i guess this is a good product though it is not much powerful but its good to have one than not having anything",i guess this is a good product though it is not much powerful but its ...
A3ULP6C31MXSYD,0209688726,5.0,True,"04 16, 2018",It was a gift. I use it all the time.lol,Five Stars
A25L15N72FW71Y,0209688726,5.0,True,"04 16, 2018","great product, easy to use and effective, love it very much",Five Stars
A1NX8HM89FRQ32,0209688726,1.0,True,"04 16, 2018","Well to write a short one, it blew 2 fuses of the car. Apparently this one demands more than 12v.",Defective
A1PGRKXW02NRY0,0209688726,5.0,True,"04 16, 2018",I love this thing!! Every mom needs it,I love it
A1EEOF0KBNUEWG,0209688726,5.0,True,"04 15, 2018","Great size as a car vacuum, the power is good, not super good as those high power vacuum at a car wash. But it's good enough if you want to do a weekly cleaning. Comes with a few tools, very convenient to use.",Great size as a car vacuum
A2F0F8W5SM0XJ5,0209688726,5.0,True,"04 15, 2018",This review is for a Car Vacuum Cleaner that is DC12-Volt 106W. This portable handheld vacuum can handle both wet & dry with the 16.4FT(5M) Power Cord that it comes with. It also tucks away into a nice compact blacl carry bag with zipper.,It also tucks away into a nice compact blacl carry bag with zipper
A24LWJMEJB5E2R,0209688726,3.0,True,"04 14, 2018",It takes a while to vacuum my car. The suction power is not that good.,The suction power is not that good.
A13W97IQK55U3N,0209688726,1.0,True,"04 14, 2018",I don't work consistently. One time it turns on quickly the next time we have to wiggle every connection to get it to start. Not easy to clean. I thought it would be great but you have to have the vehicle running to use the battery power too. I gave it away to the Amvets.,It Doesn't Work All The Time
A1X77G023NY0KY,0209688726,3.0,True,"04 13, 2018",I have absolutely no memory of buying this but I'm going to review it so it goes away from my review stuff page. Looks cool! Probably works. Thumbs up.,Looks cool! Probably works
A1NLICSONUJSV,0209688726,1.0,True,"04 13, 2018",Doesnt work. So disappointing.,Sucks that it doesnt suck (vacuum)
A2T8AY9Y9BC0XU,0209688726,1.0,True,"04 13, 2018",Zero suction....falls apart at the slightest pressure,Zero suction....falls apart at the slightest pressure
A3FR54PQCNQLAM,0209688726,3.0,True,"04 13, 2018","Its a great vacuum for the car. Easy to use, easy to clean. However, mine broke after a month when the clip that holds the dirt cylinder broke.","Great, but broke."
A1Z6TZ64QTU975,0209688726,1.0,True,"04 12, 2018",Terrible quality! I used it twice before the motor stopped working. I missed the return window which made the situation even worse. what a piece of junk!,Do not buy this!
A19CNYWKBUDPRB,0209688726,3.0,True,"04 11, 2018",I wish it was pluggable also to use in the RV,Three Stars
A2V4I8MFF9HPHO,0209688726,5.0,True,"04 11, 2018","Like the picture, it's very beautiful, it's very good, and it's also very practical. No longer worry about cleaning up!",Like the picture
A1J5JODZISN3J,0209688726,5.0,True,"04 10, 2018",Put it in my car. Very easy to use and great sucking power.,Very easy to use and great sucking power
A1TJ7WOEWF3HIM,0209688726,2.0,True,"04 10, 2018",The suction isn't as powerful as I had hoped. I bought it for my husband to use in his Peterbilt and it takes forever to pick everything up because you have to go over it so many times. The cord is nice and long though so thats nice!,It does alright.
A1OE3X047W6DQI,0209688726,3.0,True,"04 9, 2018",Works ok but the extension on the vacuum tip keeps falling off.,Three Stars
A3GK37JO2MGW6Q,0209688726,5.0,True,"04 8, 2018",it ok it does it job,Five Stars
ALBHNOME4N9ZE,0209688726,1.0,True,"04 7, 2018",Not impressed at all. Suction power is bad and weak. Just glad that it was cheap. Sucks its just a cigarette lighter power source or is just use it as a dust bust for inside my apartment.,Suction power is bad and weak
A91VTF0B1W9JV,0209688726,2.0,True,"04 7, 2018",Not a lot of suction power,Not enough suction.
A2BO0R04TMNSAC,0209688726,5.0,True,"04 6, 2018",Its very good clean for my car,Five Stars
A124CLZEHN0WWJ,0209688726,5.0,True,"04 6, 2018",used once in the car and worked great. Thinking of getting a second one for the family car.,Five Stars
A2N6I2ZKD9QR1Q,0209688726,1.0,True,"04 5, 2018",IT SUCKS DO NOT ORDER DONT BELIEVE THE COMMENT IT TOOK ME LIKE 25MINUTES TO PICK SOME DRY DIRT CAUSE OF THE SNOW AND MIND YOU MY TRUCK WAS BOUGHT A WEEK PRIOR 2018 SO NOT DIRTY AT ALLLLL THE SUCTION SUCKS NOT STRONG AT ALLLLL !!!!! DONT LISTEN TO THE COMMENTS IT SUCKS ESPECIALLY FOR $35 BUCKS AFTER SHIPPING AN TAX,IT SUCKS DO NOT ORDER DONT BELIEVE THE COMMENT IT TOOK ...
A3BPHF27DYFZ50,0209688726,5.0,True,"04 4, 2018","I purchased this vacuum about two weeks ago, I was looking for nice, convenient, light and good suction vacuum for my car, this product perfectly meet all my requirements. When I received the product, it is even lighter than I expected which is very good for my wife to handle that. The manufacturer is very thoughtful, they give an extra filter and a nice carrier bag. The inside of my car becomes harder to clean when you have kids. There are a lot of food residue, confetti and hair hidden in the edge, corner and the inside of car-seat. It helps me with all these small messes. The power is good for a small and light vacuum.","Light weight, great suction, such a good helper to clean the inside of my car"
A1N6CU916JMKNV,0209688726,5.0,True,"04 4, 2018","For the price, function and quality its a great bundle package.",function and quality its a great bundle package
A3W4WO7QPBLGSF,0209688726,5.0,True,"04 3, 2018",Great product. Come with additional current protect cell. It is very useful for people who had a pet. Easy to clean the hairs on the chair. The wire is also long enough for the second and suvs trunk. Good product with decent quality.,Great product. Come with additional current protect cell
A1XHAXW0K2BVR6,0209688726,5.0,True,"04 3, 2018",Its worthy I bought this. It comes with a bag and a few attachments. The bag is not big so I can leave it in my car and it doesn't take up too much space It plugs into my car's cigarettes and can clean everywhere in my car. So convenient for me. I love it!,I love it!
A28VOQ9WOV9NPZ,0209688726,4.0,True,"04 3, 2018",works great! thanks,Four Stars
AVOZ7CZ99K50V,0209688726,5.0,True,"04 2, 2018","Good vacuum for cleaning car seat. My young daughter loves having some snacks during driving. So a lot meshes or others fell on seat. Its hard to clean it all. This vacuum is really good to clean it. For quarters or small dirty things like hair or sands or soils, it works good.",Portable cleaner for car
A3P0TIURWUFF6,0209688726,5.0,True,"04 2, 2018","I bought this vacuum by mistake i wanted the 4th gen but after using it I like it. I park my car in my backyard so its always leaves and debris on my shoes when I get inside. I had to find a good strong vacuum. Again I like it, Its a vacuum it does the job well.  In these photos I started out with the brush attachment. This took me less than 1 minute. Then I added this second attachment that helped pick up all the little small sand type dirt that you can barely see.  I want to get a second for for my dad when possible.",Nice Car Vacuum for the price.
A1HBJKUKHFYIX,0209688726,5.0,True,"04 2, 2018","Amazing,.My kids messed up my car .  Used it last night for my car . now is super clean and comfortable.","Amazing,. My kids messed up my car"
AA0LXGWWBN62R,0209688726,3.0,True,"04 2, 2018",Is not good for the long run. It lost all of its succion power after a few months.,Its okay
A783U5IPZXRHX,0209688726,5.0,True,"04 1, 2018","I have got this car vacuum cleaner few days already. I didn't use it as a car cleaner. I think it also useful for bedrooms. I give it to my roommate, because she has baby. The baby eat many times one day. So she need clean the floor and bed every time after the baby finish eating. If use the big cleaner machine it is so heavy and unconvenient. The car cleaner is very convenient for that. And this cleaner has very good quality. My roommate really like it.",Convenient
A1QDNB9XG2P81,0209688726,5.0,True,"03 31, 2018","Nice product. After using it in my car, id Like to recommend this product to all my friends. It is so strong although it is small. It is also very easy to handle. It would be a good choice.",Small but strong vacuum
AS6NTI45VVVM8,0209688726,1.0,False,"03 31, 2018","We were going to give this a 5 star review but after less than 3 months of use, this vacuum has ceased to work properly. The crevice attachment cracked and will no longer suck up anything from the car and the vacuum itself only works about 40% of the time. This would have been expected if it were around $10 but this was purchased for almost $30 and I expected it to have a long happy life and for it to serve me well. It hasn't.",Worked great until it didn't.
A2XPJDPCQFZANF,0209688726,5.0,True,"03 31, 2018","Ive used amazon for 10 years now and have never written a review but I was so happy with this product that i had too its everything you need and really convenient to have and being able to use it in your car whenever you need is awesome you can clean up whenever you need be, its awesome buy it trust me.",... have never written a review but I was so happy with this product that i had too its everything ...
A129FE80I9G79G,0209688726,4.0,True,"03 29, 2018","Very happy with this product! It did take me about 3x longer to vacuume my sedan sized car with it than with the vacuumes at the gas station BUT I also haven't vacuumed in about a month, I have a 5 year old and we were at a sandy beach a couple of weeks ago. It will be perfect for touch ups and Im satisfied with how clean it left my car. Everything fits in the storage bag which I will be keeping in my trunk.",Very happy with this product
A433ZH1ZWOQ5Z,0209688726,1.0,True,"03 28, 2018",I normally don't rate or review items I buy.  I've never really liked or disliked an item enough to do so.  Until now.  I purchased this item to do little quick vacuums in between my car cleanings without having to pull my husband's big shop vac around.  I just basically threw that money away.  This thing is horrible.  I think it drops out just as much sand as it picks up if you don't hold it a certain way.  It won't even pick up little pebbles!  And it's not like the sand is in carpet so it's hard to pick it up.  I have Weather Tech mats and it will hardly grab the sand off of it.  Do not waste your money on this thing.  I really don't see a use for it at all.,Horrible!!
A3G2T6UZK7OE4V,0209688726,5.0,True,"03 27, 2018","It's really easy to use, the power is stronger enough to vacuum all the small stuff in the car. And very good price",It's really easy to use
A2TMTFF517K4Z9,0209688726,5.0,True,"03 27, 2018",This is a powerful vacuum that gets the job done! It was able to pick up all the dirt and grass with great suction! Worth the money!,Powerful suction
A1RLSOPH5TD4IY,0209688726,5.0,True,"03 27, 2018",Vacuum cleaner is very good! Convenient and compact suction is also good! Workmanship is also very good!,Five Stars
A23QZMA9JKJT6X,0209688726,5.0,True,"03 27, 2018",Works great.  Just wished the bag was a bit bigger still 5 star product.,Works great. Just wished the bag was a bit bigger ...
AOR7NY9RGOKN8,0209688726,5.0,True,"03 26, 2018",The seller is very kind and the product is working well.,The best
A1RXE82T4NZY91,0209688726,5.0,True,"03 26, 2018","The Vacuum workers very well, I tried today, my car really clean. I really recommend to others.",I really recommend to others
A3RVD6DLCSZSUM,0209688726,5.0,True,"03 26, 2018","I bought this car vacuum cleaner, because I was tired of constantly bringing out my big one for just some crumbs. Since my son is a toddler the crumbs in the car are happening more often than I would like. The cord is long enough to reach to the trunk. The attachments are wonderful and I can finally get to spaces I was not able to get to before. I also love, and this was probably the main reason why I got this vacuum instead of another one is I can vacuum wet surfaces. The suction is great as well. Keeping my car clean just got so much easier. I'm very happy with my purchase!",Great Vacuum!
A1VLQA78LU2E5E,0209688726,5.0,True,"03 26, 2018",i used it to clean my car. it make easier to keep my car clean. also my kids can help me to use this vacuum to clean it too now.they have fun to clean the car.make it fresh air in our car.,they have fun to clean the car
A1J1IDD2MLNKZK,0209688726,2.0,True,"03 25, 2018",I'm sending back only because I feel like the suction power is sub-par.,Two Stars
A2XZE7J3SLZZI8,0209688726,5.0,True,"03 25, 2018",I like it. I use it to clean my car and it works well. The strength is fine to suck out dust. Dont worry about the power cause it can be charged in the car. Good choice as a car vacuum.,I like it
AIY18YON1TWJJ,0209688726,5.0,True,"03 24, 2018",Have 3 big dogs. this have been great for my Ford transit connect.,this have been great for my Ford transit connect
A3TQCGL2W2HX4I,0209688726,5.0,True,"03 23, 2018",I like it a lot! I can use it to clean my car much easier now.,Five Stars
A3JUDGWIGCB6MA,0209688726,5.0,True,"03 23, 2018",Great car vacuum with different type adaptor. It is very helpful to clean inside and under rug. I purchased this and save some money from car washer vacuum.,Great car vacuum with different type adaptor
A2N06G7HO1P72J,0209688726,4.0,True,"03 23, 2018","Not very strong, but it is a small vacuum.  Wish it was stronger though, since it doesnt suck up everything.",Decent Vacuum.
A3AVAFN3HKUF8M,0209688726,5.0,True,"03 23, 2018","Awesome its amazing machine vehicle every  good,detail all small or  hair or something like Penny that,all very easy to clean up, now Iam used every day clean up and keep my vehicle clean, You should get one, I never could get other like this machine ,  hair no problem",Awesome its amazing machine vehicle every good
A2EFA8HBVEX3MT,0209688726,3.0,True,"03 22, 2018",Seemed to work fine for just under 6 months. Was used every 2 to 3 weeks to clean cars.,Lasted almost 6 months!!
A55Q4F8PZQEB4,0209688726,5.0,True,"03 22, 2018","Yesterday New York snowed, today I use the product to clean my car before work, very light, and can be clean from all angles, much cleaner than usual, I use a rag, and more rapid cleaning. Ohhh- Have nice day",Ohhh- Have nice
A3PGOXNMXCM7UI,0209688726,3.0,True,"03 20, 2018","I like the vacuum but today the charger got so hot in the 12v plug that it melted! Ive used it multiple times and have noticed it got warm, but for some reason today it got too hot. I used the same plug for my phone charger and it never gets hot. Seems to be the cord? Not sure.  Edit: Hotor sent a a new vacuum, which I very much appreciate and its working well. Luckily I drive a minivan, so I have a second 12v plug, otherwise I wouldnt be able to use the new vacuum without taking the car into the dealer (who has time for that??).  Im sticking with three stars because I still feel nervous every time I use it and am constantly checking the plug to make sure its not over heating (it still gets warm, but hasn't gotten hit the few times Ive used it).",I like the vacuum but today the charger got so hot ...
A1ILT66YJEWOIO,0209688726,5.0,True,"03 20, 2018",Handy vacuum.,Good Quality
A3EWXMXKBB144V,0209688726,5.0,True,"03 19, 2018","Its a wonderful product and is very efficient at doing what its suppose to do. Who so ever is looking for car vaccum at a reasonable price, trust me this is the best I have found in the market at present.",Its a wonderful product and is very efficient at doing what its ...
A1MGIR1BEWWYD8,0209688726,1.0,True,"03 19, 2018",Connector that plugs into my car doesnt work very well. Keeps turning off. Must have at just the right angle & it still doesnt stay on. I have a 2018 Mercedes. Its not my car. I had dealership check.,Connector that plugs into my car doesnt work very well ...
A341R6EJOSQ15Y,0209688726,5.0,True,"03 18, 2018",This is my first vacuum and I am Very pleased with the product. I like that's it runs on a cord instead of a battery. I don't have to sit there and let it charge. I can easily plug it in and go. It comes with a bag so no to worry about losing parts. I would recommend this product for a small vehicle  a mini van would need larger one.,Excellent vaccum for a sedan/compact car
A2RR3E9RN2SMSM,0209688726,5.0,True,"03 17, 2018",I use this dry/wet vacuum to clean the air conditioner outlet pipe. It works great. It is light and powerful.,It works great.
A2VSSA7N5NJ6W5,0209688726,4.0,True,"03 17, 2018","Has a really low suction, got the job done though.",Four Stars
A24FR67FGFY0O3,0209688726,5.0,True,"03 15, 2018",Vacuum comes handy when your spouse likes to drop crumb when eating cookies...,Five Stars
A30W8Z1OP7KWA8,0209688726,5.0,True,"03 14, 2018","Works great! The vacuum is awesome, it comes with a handy bad to store everything in. The cord is super long so its easy to get everywhere in the car and it comes with a brush attachment to get the harder things out like dog hair! It also comes with a replacement filter so you are all set to clean for a while! I loved it!",Works so great!
AUQ81QWPJ1Z1C,0209688726,1.0,True,"03 14, 2018",Wasnt able to pick up small rocks or dirt from my carpet would not recommend buying,Not much power
A1HFFO02023H1P,0209688726,5.0,True,"03 13, 2018",Its so easy clean my car,Good! So easy ...
A28Y7SJP4O1LNP,0209688726,1.0,True,"03 13, 2018",I purchased this vacuum last summer. I don't think it could suck up a feather even if you shoved it into the nozzle. I was very disappointed.,Had very little suction at all
A1OIHXNNHIKQKS,0209688726,2.0,True,"03 13, 2018","I don't know if its mine only, but its not really potent but I guess its ok for the price and the convenience its ok","I don't know if its mine only,"
A1N7NA3AUVWO4Y,0209688726,5.0,True,"03 12, 2018",The car vacuum cleaner is really practical! Although not completely clean! But I still feel good! It's mostly light! Not to take,But I still feel good! It's mostly light
A2M10TRAZUG5IG,0209688726,1.0,True,"03 12, 2018","By the time i tried it , it did not work and my return window is over, so I'm stuck with a useless vacuum :( a minus star",so I'm stuck with a useless vacuum: ( a minus
A2BW9YWSKOK9B9,0209688726,5.0,True,"03 12, 2018",works great,Five Stars
AO4MCV08GNF8N,0209688726,5.0,True,"03 12, 2018","Good quality can vacuum, it is the perfect size to be put in the trunk without taking any space really. Easy to set up and functions really well. Big thumbs up",WORTH IT
AFMKQ8JDO3N9A,0209688726,1.0,True,"03 12, 2018",No power at all.,One Star
A1WBCN1XSSOKYZ,0209688726,5.0,True,"03 12, 2018","Had my car cleaned up once I got this vacuum. With the extra long cable and multi attachments, I did it without any frustration which same before. Happy what I got. This is a great upgrade!",Love every upgraded features
A337IO8286W0FJ,0209688726,5.0,True,"03 11, 2018","After buying a vacuum cleaner, the car is particularly easy to clean Its as described light weight and easy to operate. It has good suction power to clean dust from your car. It has long cord which helps you to reach every corner of your car. It has brushes which help you to clean your dashboard too. Filters can be easily change and clean and it comes with extra filter. With the help of carry bag it can be kept in your car. Overall its satisfactory to me and to recommend.",the car is particularly easy to clean Its as described light weight and easy ...
A2IGBOUR3VQX6Q,0209688726,5.0,True,"03 10, 2018","This is a very good car vacuum cleaner. Its very easy to operate, lighter weigh and it can handle both wet &dry dirt. It makes my car very clean. I like it very much!",This is a very good car vacuum cleaner
AYSFUSK0CJHW0,0209688726,5.0,True,"03 8, 2018","<div id=""video-block-R3UWILRSBEAD6H"" class=""a-section a-spacing-small a-spacing-top-mini video-block""></div><input type=""hidden"" name="""" value=""https://images-na.ssl-images-amazon.com/images/I/D1XJgGbps5S.mp4"" class=""video-url""><input type=""hidden"" name="""" value=""https://images-na.ssl-images-amazon.com/images/I/91KPrvVG6pS.png"" class=""video-slate-img-url"">&nbsp;Great Car Vacuum with attachments! Pros: - comes with an extra filter - Has a nice bag and attachments...I am keeping it in the bag In my trunk - Nice suction - Nice long cord! - easy to empty Cons: - would be nice if it was cordless",Great suction with bag and attachments
A2XCQ631STBPIO,0209688726,5.0,True,"03 8, 2018","Good quality, easy to operate. My car looks clean after using this product!",Five Stars
A1PTV9TIS7J9HO,0209688726,3.0,True,"03 8, 2018",Doesnt pick up much of anything. Going to car wash vacuum s just like i was before the purchase. I forgot about it or i would have returned the vacuum. Dont waste your money. Updated review. Was contacted by cust service sent me another one tried it im very happy with the results .,gets the job done....
A30GUE1N3DZXF0,0209688726,1.0,True,"03 8, 2018",Very weak suction. It barely picks up dirt.,One Star
A1A2KUXELN12HP,0209688726,4.0,True,"03 8, 2018",Great vacuum. Wish the suction was stronger. For smaller clean ups.,Four Stars
AAOYLTN12GZPC,0209688726,5.0,True,"03 7, 2018",Very useful item! it works really well for cleaning my car mat and stuff. Highly recommend!,Five Stars
A2ZJJ5C0BBTJHQ,0209688726,4.0,True,"03 7, 2018",It is easy  to  use .,Four Stars
A2X16J6OYE62ZI,0209688726,5.0,True,"03 6, 2018","I immediately tried it when I got it. If it could not meet my standards, I could easily return it. To my surprise, it has quite a powerful unit. It is quite strong for such a small vac. It collects the embedded crumbs that are under the seat without too much noice. It came with several attachments and a bag for storage. And it looks good!",I could easily return it
A3S1IWRSOGNLP0,0209688726,5.0,True,"03 6, 2018",Works well for the price !,Great buy
A2F5J46WQTL7RS,0209688726,5.0,True,"03 5, 2018",This vacuum works fairly well. Its not good for heavy cleanups unless you want to spend an hour vacuuming. The suction wasn't as great as going to a car wash but itll come in handy for the little cleanups. The cord was long enough so I could get all in my car and the trunk.,Its not good for heavy cleanups unless you want to spend an ...
A2BQRKLBL7U2A,0209688726,1.0,False,"03 5, 2018",Piece of junk I ordered it to keep in my car to use and never could get it to work save your money,Piece of junk I ordered it to keep in my ...
A1LJT8JV8KFBRA,0209688726,2.0,True,"03 5, 2018","Cute idea and design, but ultimately kept a falling off my wall if I put any more than 2 (car and house key) keys on a ring to hang. I purchased two, and neither help up. The magnet is stong enough to hold keys, but the sticky portion on the back is not strong enough to be adhered to the wall.","Keeps falling off wall with only 2 keys, will no longer use."
A3MF9058082J00,0209688726,5.0,True,"03 4, 2018","Small size, large power, Can handle damp and dry dirt. Rope long enough to be placed in the car, Easily sucked all corners of the dust. Worth to start",Easily sucked all corners of the dust
A2MPTQ85HBBNG2,0209688726,3.0,True,"03 4, 2018","Pros: Good attachments, nice long cord, can reach whole car from the one power plug. The zip up carrying case is nice to keep everything together. Much easier to use than dragging out the House vaccuum cleaner. Its a very convenient vaccuum for quick car clean ups.  Cons:  Suction isn't as strong as I had hoped. It works ok, but isn't strong enough to pick up small small stones from shoes, etc. Build quality doesnt seem so great. The plastic seems cheap.",Decent car vaccuum.
A2HVMJ35FP4ZBO,0209688726,5.0,True,"03 4, 2018","Since my boy began to hold cookie and eat by himself, I just prefer to hold a cleaner all the time, especially while on the vehicle. This machine is very useful to clean the carseat. It's very powerful even with such small size. This package is worth to try.",Good helper
A2EBJG2A2XTBT1,0209688726,5.0,True,"03 4, 2018","Plugged into my car easily turned on, sucked up alot of the dirt. Easy to empty. Has many attachment and a nice carrying bag.",Plugged into my car easily turned on
A2OLYKVIRZENCI,0209688726,5.0,True,"03 4, 2018",I love this little vacuum . For starters..this vacuum DOES fit in the bag. I attached a photo of mine showing how I place the items in the bag to get them to fit to help anyone out who may have problems with this bc I noticed on some reviews people say the stuff won't fit in the bag. The bag is small so you can't just throw everything in however you please or it won't fit. You gotta play Tetris with it and figure out how to fit it all just right. My picture shows the way I figured out how to place everything to get things to fit right and be able to zip the bag back up every time. So hopefully that will help future buyers. But this vacuum has worked great for maintaining cleanliness of my vehicle. Now my suv was destroyed inside . it was sooo dirty from months and months of dirt and dropped food pieces from the kids that we literally had to take a shop vac to it to get it cleaned or this little vacuum prob would have took forever to clean it. This little vacuum is not really made for super heavy duty jobs. Its more made to maintain keeping your vehicle clean after its already been heavy duty cleaned. But once I got the inside of my suv fully cleaned...I now use this once a week to go over the seats and carpets and dash area etc and it sucks up the dust and dirt in the carpets and seats etc just fine. My driver side floor gets pretty dirty after a week from dirt and it has no problems getting it clean. But like I said if your vehicle is very very dirty you may want to pull our your shop vac and save you some time and then just use this little guy once a week to keep it nice and clean. Great buy for the price for a simple vacuum to maintain vehicle interior cleanliness.,Nice little vacuum! Great at maintaining vehicle cleanliness!
A1EU2RJG8BWH5P,0209688726,5.0,True,"03 3, 2018","I cannot believe I waited so long to get a vacuum for my car. I clean my car out often and I always use the vacuum at the car wash. This is convenient and does a good job. Love the attachments, too.",This is convenient and does a good job. Love the attachments
ARDYX5VARITW5,0209688726,5.0,True,"03 3, 2018",Great Quality just as described will recommend,Five Stars
A2CP17TLKVD1IK,0209688726,5.0,True,"03 2, 2018",This car vacuum cleaner is convenient and works well.great technology at work here.,great technology at work here
A3G7FSQ8IJ38A2,0209688726,5.0,True,"03 2, 2018","powerful vacuum works well in sucking up the very fine dust ! Easy to use ,The cord is long enough for cleaning everywhere in my car.it comes with a bag to store it in. It's also have other functions like tire inflator pressure gauge and LED light .",powerful vacuum works well in sucking up the very fine dust! Easy to use
A1SKLAG1GCD7SW,0209688726,5.0,True,"03 2, 2018","This upgrade to use, by the lamp, under the car seat corner places are now see clear, on the GROUPON bought a before, bad to use, no car battery line collocation, can only be charged at home electricity to get the car to use, and can't use how long the power went out.but this one the charging car with a lot of different small, very practical, I now put back directly, at any time",bad to use
A11CO16LQBT9WI,0209688726,4.0,True,"03 2, 2018",Its cute! I get tons of compliments for it :),Four Stars
ASMJYUFOTAD8Z,0209688726,5.0,True,"03 1, 2018","So glad I bought this. Working very good! This package come with quit a few things,this car vacuum comes very well equipped ,with 2 filters,4 in 1 Hotor powerful Wet/Dry ,12V 100W,used one time and it is very easy use all around the car,is a great size to carry in the car!",So glad I bought this
A2AEQDV76352OB,0209688726,1.0,True,"03 1, 2018",Didnt even own for half a year and it stopped working because or wire short.... also isn't as strong as advertised. waste of money and time.,do not purchase this.
A10ZXWII0V5HNP,0209688726,5.0,True,"03 1, 2018","So glad I bought this. It comes with a bag and a few attachments. The bag is great because I just leave it in my car and it doesn't take up too much room. It plugs into your car's cigarette lighter/socket (whatever you want to call it). And the cord is fascinatingly long for easy use all around the car. It has a light you can turn on if it's dark. The attachments it comes with is: - A slightly longer, skinner nozzle to reach difficult spots - A very long stretchy, bendable hose to give it more length - A small broom-like nozzle (I'm guessing to use on your dashboard or other areas) - A replacement filter, which is so nice to have. - The bag of course  All in all, its way easier to use than to go to a car wash. I just had my car detailed a month ago and use this to keep up with the dirt/debris that gets left behind.",So glad I bought this
